date,country,confirmed,deaths,recovered,active,new cases,new deaths,new recovered,region
2020-01-22,Canada,0,0,0,0,0,0,0,Americas
2020-01-22,France,0,0,0,0,0,0,0,Europe
2020-01-22,Germany,0,0,0,0,0,0,0,Europe
2020-01-22,Italy,0,0,0,0,0,0,0,Europe
2020-01-22,Spain,0,0,0,0,0,0,0,Europe
2020-01-22,US,1,0,0,1,0,0,0,Americas
2020-01-22,United Kingdom,0,0,0,0,0,0,0,Europe
2020-01-23,Canada,0,0,0,0,0,0,0,Americas
2020-01-23,France,0,0,0,0,0,0,0,Europe
2020-01-23,Germany,0,0,0,0,0,0,0,Europe
2020-01-23,Italy,0,0,0,0,0,0,0,Europe
2020-01-23,Spain,0,0,0,0,0,0,0,Europe
2020-01-23,US,1,0,0,1,0,0,0,Americas
2020-01-23,United Kingdom,0,0,0,0,0,0,0,Europe
2020-01-24,Canada,0,0,0,0,0,0,0,Americas
2020-01-24,France,2,0,0,2,2,0,0,Europe
2020-01-24,Germany,0,0,0,0,0,0,0,Europe
2020-01-24,Italy,0,0,0,0,0,0,0,Europe
2020-01-24,Spain,0,0,0,0,0,0,0,Europe
2020-01-24,US,2,0,0,2,1,0,0,Americas
2020-01-24,United Kingdom,0,0,0,0,0,0,0,Europe
2020-01-25,Canada,0,0,0,0,0,0,0,Americas
2020-01-25,France,3,0,0,3,1,0,0,Europe
2020-01-25,Germany,0,0,0,0,0,0,0,Europe
2020-01-25,Italy,0,0,0,0,0,0,0,Europe
2020-01-25,Spain,0,0,0,0,0,0,0,Europe
2020-01-25,US,2,0,0,2,0,0,0,Americas
2020-01-25,United Kingdom,0,0,0,0,0,0,0,Europe
2020-01-26,Canada,1,0,0,1,1,0,0,Americas
2020-01-26,France,3,0,0,3,0,0,0,Europe
2020-01-26,Germany,0,0,0,0,0,0,0,Europe
2020-01-26,Italy,0,0,0,0,0,0,0,Europe
2020-01-26,Spain,0,0,0,0,0,0,0,Europe
2020-01-26,US,5,0,0,5,3,0,0,Americas
2020-01-26,United Kingdom,0,0,0,0,0,0,0,Europe
2020-01-27,Canada,1,0,0,1,0,0,0,Americas
2020-01-27,France,3,0,0,3,0,0,0,Europe
2020-01-27,Germany,1,0,0,1,1,0,0,Europe
2020-01-27,Italy,0,0,0,0,0,0,0,Europe
2020-01-27,Spain,0,0,0,0,0,0,0,Europe
2020-01-27,US,5,0,0,5,0,0,0,Americas
2020-01-27,United Kingdom,0,0,0,0,0,0,0,Europe
2020-01-28,Canada,2,0,0,2,1,0,0,Americas
2020-01-28,France,4,0,0,4,1,0,0,Europe
2020-01-28,Germany,4,0,0,4,3,0,0,Europe
2020-01-28,Italy,0,0,0,0,0,0,0,Europe
2020-01-28,Spain,0,0,0,0,0,0,0,Europe
2020-01-28,US,5,0,0,5,0,0,0,Americas
2020-01-28,United Kingdom,0,0,0,0,0,0,0,Europe
2020-01-29,Canada,2,0,0,2,0,0,0,Americas
2020-01-29,France,5,0,0,5,1,0,0,Europe
2020-01-29,Germany,4,0,0,4,0,0,0,Europe
2020-01-29,Italy,0,0,0,0,0,0,0,Europe
2020-01-29,Spain,0,0,0,0,0,0,0,Europe
2020-01-29,US,5,0,0,5,0,0,0,Americas
2020-01-29,United Kingdom,0,0,0,0,0,0,0,Europe
2020-01-30,Canada,2,0,0,2,0,0,0,Americas
2020-01-30,France,5,0,0,5,0,0,0,Europe
2020-01-30,Germany,4,0,0,4,0,0,0,Europe
2020-01-30,Italy,0,0,0,0,0,0,0,Europe
2020-01-30,Spain,0,0,0,0,0,0,0,Europe
2020-01-30,US,5,0,0,5,0,0,0,Americas
2020-01-30,United Kingdom,0,0,0,0,0,0,0,Europe
2020-01-31,Canada,4,0,0,4,2,0,0,Americas
2020-01-31,France,5,0,0,5,0,0,0,Europe
2020-01-31,Germany,5,0,0,5,1,0,0,Europe
2020-01-31,Italy,2,0,0,2,2,0,0,Europe
2020-01-31,Spain,0,0,0,0,0,0,0,Europe
2020-01-31,US,7,0,0,7,2,0,0,Americas
2020-01-31,United Kingdom,2,0,0,2,2,0,0,Europe
2020-02-01,Canada,4,0,0,4,0,0,0,Americas
2020-02-01,France,6,0,0,6,1,0,0,Europe
2020-02-01,Germany,8,0,0,8,3,0,0,Europe
2020-02-01,Italy,2,0,0,2,0,0,0,Europe
2020-02-01,Spain,1,0,0,1,1,0,0,Europe
2020-02-01,US,8,0,0,8,1,0,0,Americas
2020-02-01,United Kingdom,2,0,0,2,0,0,0,Europe
2020-02-02,Canada,4,0,0,4,0,0,0,Americas
2020-02-02,France,6,0,0,6,0,0,0,Europe
2020-02-02,Germany,10,0,0,10,2,0,0,Europe
2020-02-02,Italy,2,0,0,2,0,0,0,Europe
2020-02-02,Spain,1,0,0,1,0,0,0,Europe
2020-02-02,US,8,0,0,8,0,0,0,Americas
2020-02-02,United Kingdom,2,0,0,2,0,0,0,Europe
2020-02-03,Canada,4,0,0,4,0,0,0,Americas
2020-02-03,France,6,0,0,6,0,0,0,Europe
2020-02-03,Germany,12,0,0,12,2,0,0,Europe
2020-02-03,Italy,2,0,0,2,0,0,0,Europe
2020-02-03,Spain,1,0,0,1,0,0,0,Europe
2020-02-03,US,11,0,0,11,3,0,0,Americas
2020-02-03,United Kingdom,8,0,0,8,6,0,0,Europe
2020-02-04,Canada,4,0,0,4,0,0,0,Americas
2020-02-04,France,6,0,0,6,0,0,0,Europe
2020-02-04,Germany,12,0,0,12,0,0,0,Europe
2020-02-04,Italy,2,0,0,2,0,0,0,Europe
2020-02-04,Spain,1,0,0,1,0,0,0,Europe
2020-02-04,US,11,0,0,11,0,0,0,Americas
2020-02-04,United Kingdom,8,0,0,8,0,0,0,Europe
2020-02-05,Canada,5,0,0,5,1,0,0,Americas
2020-02-05,France,6,0,0,6,0,0,0,Europe
2020-02-05,Germany,12,0,0,12,0,0,0,Europe
2020-02-05,Italy,2,0,0,2,0,0,0,Europe
2020-02-05,Spain,1,0,0,1,0,0,0,Europe
2020-02-05,US,11,0,0,11,0,0,0,Americas
2020-02-05,United Kingdom,9,0,0,9,1,0,0,Europe
2020-02-06,Canada,5,0,0,5,0,0,0,Americas
2020-02-06,France,6,0,0,6,0,0,0,Europe
2020-02-06,Germany,12,0,0,12,0,0,0,Europe
2020-02-06,Italy,2,0,0,2,0,0,0,Europe
2020-02-06,Spain,1,0,0,1,0,0,0,Europe
2020-02-06,US,11,0,0,11,0,0,0,Americas
2020-02-06,United Kingdom,9,0,0,9,0,0,0,Europe
2020-02-07,Canada,7,0,0,7,2,0,0,Americas
2020-02-07,France,6,0,0,6,0,0,0,Europe
2020-02-07,Germany,13,0,0,13,1,0,0,Europe
2020-02-07,Italy,3,0,0,3,1,0,0,Europe
2020-02-07,Spain,1,0,0,1,0,0,0,Europe
2020-02-07,US,11,0,0,11,0,0,0,Americas
2020-02-07,United Kingdom,9,0,0,9,0,0,0,Europe
2020-02-08,Canada,7,0,0,7,0,0,0,Americas
2020-02-08,France,11,0,0,11,5,0,0,Europe
2020-02-08,Germany,13,0,0,13,0,0,0,Europe
2020-02-08,Italy,3,0,0,3,0,0,0,Europe
2020-02-08,Spain,1,0,0,1,0,0,0,Europe
2020-02-08,US,11,0,0,11,0,0,0,Americas
2020-02-08,United Kingdom,13,0,0,13,4,0,0,Europe
2020-02-09,Canada,7,0,0,7,0,0,0,Americas
2020-02-09,France,11,0,0,11,0,0,0,Europe
2020-02-09,Germany,14,0,0,14,1,0,0,Europe
2020-02-09,Italy,3,0,0,3,0,0,0,Europe
2020-02-09,Spain,2,0,0,2,1,0,0,Europe
2020-02-09,US,11,0,3,8,0,0,3,Americas
2020-02-09,United Kingdom,14,0,0,14,1,0,0,Europe
2020-02-10,Canada,7,0,0,7,0,0,0,Americas
2020-02-10,France,11,0,0,11,0,0,0,Europe
2020-02-10,Germany,14,0,0,14,0,0,0,Europe
2020-02-10,Italy,3,0,0,3,0,0,0,Europe
2020-02-10,Spain,2,0,0,2,0,0,0,Europe
2020-02-10,US,11,0,3,8,0,0,0,Americas
2020-02-10,United Kingdom,14,0,0,14,0,0,0,Europe
2020-02-11,Canada,7,0,0,7,0,0,0,Americas
2020-02-11,France,11,0,0,11,0,0,0,Europe
2020-02-11,Germany,16,0,0,16,2,0,0,Europe
2020-02-11,Italy,3,0,0,3,0,0,0,Europe
2020-02-11,Spain,2,0,0,2,0,0,0,Europe
2020-02-11,US,12,0,3,9,1,0,0,Americas
2020-02-11,United Kingdom,15,0,0,15,1,0,0,Europe
2020-02-12,Canada,7,0,0,7,0,0,0,Americas
2020-02-12,France,11,0,2,9,0,0,2,Europe
2020-02-12,Germany,16,0,0,16,0,0,0,Europe
2020-02-12,Italy,3,0,0,3,0,0,0,Europe
2020-02-12,Spain,2,0,0,2,0,0,0,Europe
2020-02-12,US,12,0,3,9,0,0,0,Americas
2020-02-12,United Kingdom,16,0,1,15,1,0,1,Europe
2020-02-13,Canada,7,0,0,7,0,0,0,Americas
2020-02-13,France,11,0,2,9,0,0,0,Europe
2020-02-13,Germany,16,0,1,15,0,0,1,Europe
2020-02-13,Italy,3,0,0,3,0,0,0,Europe
2020-02-13,Spain,2,0,0,2,0,0,0,Europe
2020-02-13,US,13,0,3,10,1,0,0,Americas
2020-02-13,United Kingdom,17,0,1,16,1,0,0,Europe
2020-02-14,Canada,7,0,0,7,0,0,0,Americas
2020-02-14,France,11,0,2,9,0,0,0,Europe
2020-02-14,Germany,16,0,1,15,0,0,0,Europe
2020-02-14,Italy,3,0,0,3,0,0,0,Europe
2020-02-14,Spain,2,0,0,2,0,0,0,Europe
2020-02-14,US,13,0,3,10,0,0,0,Americas
2020-02-14,United Kingdom,18,0,1,17,1,0,0,Europe
2020-02-15,Canada,7,0,0,7,0,0,0,Americas
2020-02-15,France,12,1,4,7,1,1,2,Europe
2020-02-15,Germany,16,0,1,15,0,0,0,Europe
2020-02-15,Italy,3,0,0,3,0,0,0,Europe
2020-02-15,Spain,2,0,2,0,0,0,2,Europe
2020-02-15,US,13,0,3,10,0,0,0,Americas
2020-02-15,United Kingdom,18,0,1,17,0,0,0,Europe
2020-02-16,Canada,7,0,0,7,0,0,0,Americas
2020-02-16,France,12,1,4,7,0,0,0,Europe
2020-02-16,Germany,16,0,1,15,0,0,0,Europe
2020-02-16,Italy,3,0,0,3,0,0,0,Europe
2020-02-16,Spain,2,0,2,0,0,0,0,Europe
2020-02-16,US,13,0,3,10,0,0,0,Americas
2020-02-16,United Kingdom,18,0,8,10,0,0,7,Europe
2020-02-17,Canada,8,0,0,8,1,0,0,Americas
2020-02-17,France,12,1,4,7,0,0,0,Europe
2020-02-17,Germany,16,0,1,15,0,0,0,Europe
2020-02-17,Italy,3,0,0,3,0,0,0,Europe
2020-02-17,Spain,2,0,2,0,0,0,0,Europe
2020-02-17,US,13,0,3,10,0,0,0,Americas
2020-02-17,United Kingdom,19,0,8,11,1,0,0,Europe
2020-02-18,Canada,8,0,0,8,0,0,0,Americas
2020-02-18,France,12,1,4,7,0,0,0,Europe
2020-02-18,Germany,16,0,12,4,0,0,11,Europe
2020-02-18,Italy,3,0,0,3,0,0,0,Europe
2020-02-18,Spain,2,0,2,0,0,0,0,Europe
2020-02-18,US,13,0,3,10,0,0,0,Americas
2020-02-18,United Kingdom,19,0,8,11,0,0,0,Europe
2020-02-19,Canada,8,0,0,8,0,0,0,Americas
2020-02-19,France,12,1,4,7,0,0,0,Europe
